order_id,customer_id,order_date,product,channel,quantity,revenue
ORD0001,CUST018,2024-03-05,Doohickey,email,4.0,5000.0
ORD0002,CUST027,2024-01-27,Gizmo,organic,5.0,281.44
ORD0003,CUST027,2024-02-04,Gadget,email,3.0,176.23
ORD0004,CUST019,2024-05-29,Widget,email,4.0,172.32
ORD0005,CUST035,2024-02-27,Widget,email,4.0,226.86
ORD0006,CUST023,2024-02-26,Doohickey,ads,2.0,113.59
ORD0007,CUST004,2024-06-16,Gizmo,organic,2.0,86.81
ORD0008,CUST031,2024-01-27,Gadget,organic,4.0,146.11
ORD0009,CUST023,2024-06-14,Gadget,email,1.0,35.79
ORD0010,CUST026,2024-06-15,Gizmo,ads,2.0,51.04
ORD0011,CUST023,2024-04-18,Gizmo,email,,215.7
ORD0012,CUST023,2024-01-30,Gizmo,ads,,202.45
ORD0013,CUST004,2024-01-29,Gadget,organic,,150.96
ORD0014,CUST023,2024-02-21,Gizmo,ads,,113.69
ORD0015,CUST032,2024-04-14,Gadget,ads,,172.25
ORD0016,CUST013,2024-01-28,Doohickey,email,4.0,274.49
ORD0017,CUST025,2024-03-23,Widget,organic,3.0,195.97
ORD0018,CUST002,2024-01-21,Widget,ads,1.0,37.98
ORD0019,CUST014,2024-04-07,Gadget,email,3.0,210.61
ORD0020,CUST018,2024-01-04,Gizmo,email,3.0,130.88
ORD0021,CUST040,2024-05-08,,email,4.0,250.15
ORD0022,CUST009,2024-01-11,,email,5.0,254.08
ORD0023,CUST012,2024-02-05,,email,5.0,225.27
ORD0024,CUST017,2024-02-01,Gadget,ads,4.0,113.23
ORD0025,CUST040,2024-05-30,Widget,ads,2.0,95.88
ORD0026,CUST035,2024-01-10,Widget,email,3.0,93.86
ORD0027,CUST002,2024-03-18,Doohickey,ads,1.0,61.61
ORD0028,CUST010,2024-04-16,Widget,organic,5.0,341.01
ORD0029,CUST033,2024-04-03,Doohickey,organic,5.0,202.19
ORD0030,CUST003,2024-05-03,Gadget,ads,5.0,268.12
ORD0031,CUST035,2024-05-25,Widget,email,2.0,82.59
ORD0032,CUST012,2024-03-12,Gadget,organic,2.0,84.92
ORD0033,CUST037,2024-05-29,Gizmo,email,5.0,148.24
ORD0034,CUST012,2024-02-27,Gadget,email,3.0,148.61
ORD0035,CUST018,2024-06-27,Doohickey,organic,4.0,141.75
ORD0036,CUST027,2024-04-01,Gizmo,ads,3.0,132.64
ORD0037,CUST006,2024-05-13,Gadget,ads,3.0,185.98
ORD0038,CUST023,2024-06-07,Gizmo,ads,4.0,204.68
ORD0039,CUST021,2024-05-23,Doohickey,ads,5.0,297.75
ORD0040,CUST032,2024-06-03,Gadget,email,2.0,89.27
ORD0041,CUST040,2024-04-07,Widget,email,5.0,247.03
ORD0042,CUST027,2024-01-08,Gadget,email,2.0,97.23
ORD0043,CUST017,2024-03-30,Doohickey,email,3.0,119.9
ORD0044,CUST017,2024-02-02,Widget,organic,5.0,289.72
ORD0045,CUST017,2024-06-09,Doohickey,email,5.0,289.01
ORD0046,CUST033,2024-02-12,Gizmo,ads,5.0,285.61
ORD0047,CUST013,2024-02-11,Gizmo,organic,2.0,136.89
ORD0048,CUST007,2024-02-15,Gadget,organic,5.0,336.96
ORD0049,CUST014,2024-04-26,Doohickey,ads,5.0,227.5
ORD0050,CUST001,2024-04-13,Widget,ads,5.0,272.38
ORD0051,CUST005,2024-06-20,Gadget,organic,1.0,21.26
ORD0052,CUST004,2024-03-16,Gadget,ads,4.0,201.12
ORD0053,CUST031,2024-02-21,Gadget,organic,5.0,214.02
ORD0054,CUST029,2024-01-09,Gadget,organic,4.0,277.76
ORD0055,CUST028,2024-01-02,Widget,organic,2.0,108.73
ORD0056,CUST019,2024-03-08,Widget,email,4.0,189.53
ORD0057,CUST029,2024-06-16,Widget,ads,1.0,32.16
ORD0058,CUST007,2024-04-04,Gizmo,email,3.0,71.86
ORD0059,CUST037,2024-06-10,Gadget,ads,4.0,51.66
ORD0060,CUST021,2024-01-19,Gizmo,organic,3.0,178.65
ORD0061,CUST038,2024-01-17,Gizmo,ads,4.0,202.9
ORD0062,CUST007,2024-05-30,Gizmo,ads,2.0,106.01
ORD0063,CUST020,2024-01-20,Gizmo,email,4.0,136.33
